id_paciente,nome,cpf,data_nascimento,carteira_sus,fk_endereco,fk_upa
33,"Diego Martins",47382916507,1987-09-30,300000000000004,33,1
34,"Elaine Teixeira",96832017456,1993-01-22,300000000000005,34,1
35,"Felipe Souza",39285746190,2000-12-08,300000000000006,35,1
36,"Gisele Farias",10729483569,1986-03-11,300000000000007,36,1
37,"Henrique Lopes",56823974012,1992-07-04,300000000000008,37,1
38,"Isabela Rocha",61473820593,1997-10-18,300000000000009,38,1
39,"João Pedro Almeida",84016592734,1984-05-27,300000000000010,39,1
40,"Karen Oliveira",21947386051,1990-08-16,300000000000011,40,1
41,"Leonardo Nunes",39784026518,1996-02-03,300000000000012,41,1
42,"Manuela Lima",75932086417,1994-11-09,300000000000013,42,1
43,"Nathan Vieira",82169037485,1988-06-21,300000000000014,43,1
44,"Olívia Duarte",67538491026,1999-01-14,300000000000015,44,1
45,"Pedro Henrique",98021374569,1991-03-05,300000000000016,45,1
46,"Queila Menezes",31092874562,1985-07-30,300000000000017,46,1
47,"Renan Batista",58017634920,1993-09-19,300000000000018,47,1
48,"Simone Araújo",92657381047,1998-12-25,300000000000019,48,1
49,"Tiago Ramos",49302817562,1987-10-01,300000000000020,49,1
50,"Antony Pires",89074132588,1991-06-29,10679238530,64,20
51,"Maria Fernanda Araújo",87931450639,1986-07-13,02976138559,65,12
52,"Antônio Correia",23794605152,1946-05-09,05478162353,66,16
53,"Nina das Neves",85190237460,1982-09-11,43609187557,67,15
54,"Pietro Sampaio",92684301506,1961-06-15,32546178008,68,19
55,"Maitê Vasconcelos",95062843189,1970-05-15,89425601305,69,1
56,"Liam Cavalcante",64281305726,2004-02-12,63420759134,70,23
57,"Marcelo Farias",67124953855,2000-04-01,13240569833,71,25
58,"Matheus Cunha",78056321462,1970-07-29,34702916599,72,34
59,"Danilo Monteiro",34758902160,2003-11-28,46732819500,73,1
60,"Davi Lucca Macedo",21409673804,1955-04-11,40732589150,74,4
61,"Ísis da Rocha",29651370416,1974-03-04,62503149707,75,20
62,"Nicole da Cunha",82075941602,1946-03-28,62385174090,76,23
63,"Caroline Fonseca",21653890460,1970-05-05,79368405247,77,28
64,"Alice Melo",16739540810,2002-12-11,92457638119,78,24
65,"Hadassa Monteiro",50243918704,1975-05-31,54012693743,79,20
66,"Dra. Manuella Novais",64701593893,1981-02-03,90812453689,80,17
67,"Sr. Ravi Lucca Caldeira",83206714508,1982-08-17,20376451980,81,32
68,"Sophie Porto",96518720395,1978-02-05,04853269738,82,34
69,"Nicole da Cruz",20648793150,1977-11-16,78425109620,83,33
70,"Luiz Gustavo Gonçalves",21638549737,1955-10-11,13754602934,84,23
71,"Vitor Hugo Duarte",02576389465,1986-08-25,38915740297,85,22
72,"Caio da Luz",38167409287,1953-10-22,53204816915,86,1
73,"Ana Clara Vasconcelos",40583927629,2006-05-25,37958164084,87,1
74,"Maria Fernanda Cavalcante",07845291323,1960-05-06,86143057290,88,8
75,"Maria Laura da Cunha",36107825959,1953-04-23,41072856930,89,33
76,"Dr. Bryan Azevedo",09365872456,1998-04-21,26037145970,90,16
77,"Bárbara Campos",32087945179,1995-06-07,07146253880,91,29
78,"Luísa da Rosa",29168450389,1948-10-23,09715234607,92,22
79,"Alexandre Azevedo",52981074601,1950-06-09,56921084370,93,1
80,"Larissa Mendes",45639872047,1952-11-12,82513690451,94,23
81,"Sra. Maria Fernanda Moraes",56742931809,1980-02-01,03486957139,95,27
82,"Allana da Cunha",79365402883,1994-03-06,80629175330,96,9
83,"Dr. Ryan Correia",95138647237,1991-03-17,51836729030,97,24
84,"Evelyn Guerra",40397286538,1962-02-14,17294068313,98,30
85,"Srta. Sofia Carvalho",10768523435,1979-02-19,52196843709,99,23
86,"Fernando Lopes",37902416878,1946-05-02,79614520361,100,4
87,"Maria Fernanda Borges",16247385080,1961-10-23,98730541204,101,21
88,"Maria Luiza Souza",98105643766,1996-04-22,27196483537,102,9
89,"Arthur Miguel Azevedo",41075832950,2003-08-11,42917360534,103,12
90,"Luiza Pires",64580179366,1957-08-12,05897364184,104,16
91,"Dr. Asafe Pimenta",36528190712,1945-02-20,42395871079,105,5
92,"Vinicius Cardoso",87293514050,1991-09-12,34789065120,106,32
93,"Srta. Sofia Castro",19360258415,1973-02-24,39586710475,107,6
94,"Sabrina Farias",03527946152,1987-10-14,56709183203,108,10
95,"Bryan Silveira",82015937668,2004-04-27,52649730838,109,33
96,"Gabriela Fernandes",10837249597,1960-08-27,46927153080,110,20
97,"Cecilia Barbosa",07416298520,1974-10-19,50382946189,111,7
98,"Enzo Gabriel Campos",02841765326,1993-06-05,09765283121,112,22
99,"Sr. Thales Machado",25381947097,1954-04-19,76145829346,113,24
100,"Maitê Moura",68914230589,2007-01-20,47526819002,114,26
101,"Dr. Gabriel Nunes",70192684396,1981-10-07,16854092701,115,17
102,"Eduardo Freitas",26901458398,1952-11-27,13074925680,116,21
103,"Danilo Abreu",08137952659,1978-10-03,30167584235,117,24
104,"Gustavo da Conceição",24785310979,1965-06-25,28106954315,118,9
105,"Dr. Paulo Duarte",50317842617,1965-11-14,47681329528,119,19
106,"Luan Pereira",30541678280,2000-06-02,19502687302,120,8
107,"Srta. Ana Lívia da Rosa",85609713439,1993-07-08,36720148508,121,22
108,"Srta. Maitê Moreira",93806751439,1986-05-29,34528079160,122,4
109,"Dr. Cauã Oliveira",39784615282,1973-11-08,69083417204,123,17
110,"Daniela Cavalcante",84271635928,1998-05-08,56782041308,124,17
111,"Raquel Martins",81924067331,1996-12-14,42815076390,125,3
112,"Ana Carolina Monteiro",65430217999,1981-04-02,23956807103,126,15
113,"Otávio Oliveira",16843075207,1978-05-11,45726310934,127,12
114,"José da Conceição",42367981078,1998-07-18,58437291097,128,5
115,"Dr. Diego Vieira",79381264031,1966-03-21,60594213851,129,20
116,"Rael Câmara",48620397583,2000-12-15,23458791655,130,29
117,"Arthur Cunha",43910287603,1997-11-29,83570416208,131,6
118,"Brayan Cunha",27680591377,1972-05-28,98017452667,132,9
119,"Arthur Monteiro",10253769868,1950-11-06,19324805797,133,16
120,"Isaac da Rocha",95761328003,1993-04-22,87054926374,134,4
121,"Elisa das Neves",63850291405,1961-09-07,87503296429,135,30
122,"Srta. Aylla Araújo",83657490175,1957-01-07,08961325442,136,19
123,"Enzo Guerra",97615804310,1973-09-19,21380694787,137,31
124,"João Felipe Melo",65187092430,1962-01-26,46298135782,138,21
125,"Davi Lucas Dias",81473260922,2007-02-22,96450283700,139,13
126,"Srta. Anna Liz Aparecida",03825967492,1972-11-22,27395160452,140,4
127,"Ana Clara da Cunha",14678293582,1987-01-14,90542763125,141,3
128,"Danilo Teixeira",86234157017,1944-12-26,23459670800,142,28
129,"Eduardo Dias",63780254956,1969-09-16,09643815242,143,14
130,"Dra. Maria Laura Rodrigues",04356271980,1957-09-16,12983764591,144,17
